iter	Passed	Remaining
405	6773	9909
406	6787	9889
407	6801	9868
408	6816	9850
409	6830	9829
410	6855	9824
411	6872	9808
412	6885	9787
413	6900	9767
414	6913	9745
415	6926	9723
416	6938	9701
417	6964	9697
418	6988	9690
419	6998	9664
420	7010	9642
421	7022	9618
422	7034	9595
423	7047	9573
424	7057	9548
425	7071	9528
426	7086	9509
427	7099	9487
428	7113	9467
429	7136	9460
430	7150	9439
431	7165	9421
432	7179	9401
433	7194	9382
434	7208	9362
435	7221	9342
436	7243	9332
437	7256	9311
438	7265	9284
439	7280	9266
440	7294	9246
441	7307	9225
442	7321	9205
443	7331	9181
444	7345	9161
445	7368	9152
446	7375	9124
447	7388	9103
448	7418	9104
449	7446	9101
450	7460	9081
451	7473	9061
452	7487	9041
453	7499	9019
454	7510	8995
455	7521	8972
456	7531	8948
457	7542	8926
458	7552	8902
459	7566	8882
460	7579	8862
461	7592	8841
462	7603	8818
463	7614	8796
464	7628	8776
465	7655	8773
466	7668	8752
467	7682	8733
468	7696	8713
469	7709	8694
470	7722	8673
471	7736	8654
472	7746	8631
473	7760	8611
474	7774	8592
475	7804	8590
476	7818	8572
477	7833	8554
478	7848	8536
479	7863	8518
480	7882	8505
481	7895	8485
482	7909	8466
483	7922	8446
484	7933	8424
485	7947	8404
486	7961	8386
487	7971	8363
488	7989	8348
489	8004	8330
490	8014	8308
491	8024	8285
492	8052	8281
493	8066	8262
494	8079	8243
495	8091	8222
496	8102	8200
497	8114	8180
498	8128	8160
499	8139	8139
500	8150	8117
501	8163	8098
502	8173	8076
503	8186	8057
504	8200	8037
505	8211	8016
506	8222	7995
507	8232	7973
508	8242	7951
509	8255	7931
510	8268	7912
511	8280	7892
512	8286	7866
513	8300	7848
514	8315	7831
515	8331	7814
516	8344	7795
517	8360	7779
518	8388	7774
519	8402	7755
520	8435	7755
521	8449	7736
522	8459	7715
523	8472	7696
524	8488	7679
525	8501	7660
526	8515	7642
527	8529	7624
528	8542	7606
529	8554	7586
530	8565	7565
531	8581	7549
532	8596	7532
533	8609	7513
534	8620	7492
535	8646	7484
536	8656	7463
537	8670	7445
538	8681	7425
539	8687	7400
540	8692	7375
541	8697	7349
542	8708	7328
543	8718	7308
544	8729	7287
545	8753	7278
546	8766	7259
547	8777	7239
548	8798	7227
549	8810	7208
550	8822	7189
551	8834	7170
552	8847	7151
553	8861	7133
554	8872	7114
555	8884	7095
556	8896	7075
557	8908	7056
558	8920	7037
559	8934	7019
560	8944	6999
561	8955	6979
562	8967	6960
563	8979	6941
564	8991	6922
565	9002	6903
566	9016	6885
567	9029	6867
568	9043	6850
569	9055	6831
570	9068	6812
571	9078	6792
572	9090	6774
573	9102	6755
574	9125	6745
575	9137	6726
576	9151	6708
577	9165	6691
578	9190	6682
579	9202	6663
580	9214	6645
581	9226	6626
582	9254	6619
583	9279	6610
584	9291	6591
585	9303	6572
586	9309	6550
587	9321	6531
588	9333	6512
589	9347	6495
590	9360	6477
591	9374	6461
592	9390	6444
593	9420	6439
594	9440	6425
595	9452	6407
596	9466	6390
597	9481	6373
598	9495	6356
599	9525	6350
600	9539	6333
601	9553	6315
602	9567	6298
603	9581	6281
604	9593	6263
605	9604	6244
606	9617	6226
607	9628	6207
608	9638	6188
609	9648	6168
610	9671	6157
611	9682	6138
612	9692	6119
613	9703	6100
614	9713	6081
615	9724	6061
616	9734	6042
617	9748	6025
618	9765	6010
619	9778	5993
620	9791	5975
621	9804	5958
622	9826	5946
623	9838	5928
624	9850	5910
625	9861	5891
626	9872	5873
627	9883	5854
628	9899	5838
629	9913	5822
630	9924	5803
631	9935	5785
632	9945	5766
633	9957	5748
634	9968	5730
635	9980	5712
636	9992	5694
637	10002	5675
638	10013	5657
639	10024	5638
640	10034	5620
641	10046	5602
642	10056	5583
643	10085	5575
644	10096	5557
645	10108	5539
646	10121	5522
647	10133	5504
648	10144	5486
649	10157	5469
650	10166	5450
651	10180	5433
652	10193	5416
653	10206	5399
654	10218	5382
655	10231	5365
656	10244	5348
657	10270	5338
658	10281	5320
659	10293	5302
660	10304	5284
661	10313	5265
662	10326	5249
663	10371	5248
664	10385	5231
665	10399	5215
666	10413	5198
667	10442	5189
668	10454	5172
669	10466	5155
670	10479	5138
671	10494	5122
672	10507	5105
673	10520	5088
674	10533	5071
675	10546	5054
676	10559	5038
677	10573	5021
678	10585	5004
679	10597	4986
680	10623	4976
681	10636	4959
682	10680	4957
683	10691	4939
684	10702	4921
685	10714	4904
686	10727	4887
687	10738	4869
688	10751	4853
689	10763	4835
690	10790	4825
691	10805	4809
692	10832	4798
693	10844	4781
694	10857	4764
695	10869	4747
696	10882	4730
697	10902	4717
698	10913	4699
699	10924	4682
700	10936	4664
701	10965	4654
702	10979	4638
703	11037	4640
704	11050	4623
705	11065	4608
706	11079	4591
707	11091	4574
708	11104	4557
709	11116	4540
710	11127	4523
711	11146	4508
712	11156	4490
713	11167	4473
714	11180	4456
715	11193	4439
716	11208	4423
717	11220	4406
718	11233	4390
719	11246	4373
720	11256	4356
721	11274	4341
722	11288	4325
723	11302	4308
724	11315	4292
725	11327	4275
726	11339	4258
727	11353	4241
728	11366	4225
729	11379	4208
730	11391	4191
731	11403	4175
732	11429	4163
733	11444	4147
734	11458	4131
735	11473	4115
736	11488	4099
737	11505	4084
738	11519	4068
739	11533	4052
740	11547	4036
741	11566	4021
742	11580	4005
743	11592	3988
744	11606	3972
745	11619	3956
746	11632	3939
747	11644	3922
748	11656	3906
749	11667	3889
750	11681	3873
751	11695	3857
752	11709	3840
753	11726	3825
754	11740	3809
755	11760	3795
756	11773	3779
757	11787	3763
758	11801	3747
759	11814	3730
760	11825	3713
761	11837	3697
762	11850	3680
763	11862	3664
764	11876	3648
765	11889	3632
766	11902	3615
767	11927	3603
768	11939	3586
769	11950	3569
770	11960	3552
771	11970	3535
772	11981	3518
773	11993	3501
774	12006	3485
775	12019	3469
776	12033	3453
777	12052	3439
778	12063	3422
779	12082	3407
780	12099	3392
781	12117	3378
782	12133	3362
783	12145	3346
784	12156	3329
785	12168	3312
786	12181	3296
787	12195	3280
788	12207	3264
789	12218	3248
790	12231	3231
791	12243	3215
792	12266	3201
793	12278	3185
794	12292	3169
795	12319	3157
796	12330	3140
797	12349	3126
798	12363	3110
799	12390	3097
800	12407	3082
801	12421	3066
802	12435	3050
803	12448	3034
804	12462	3018
805	12476	3003
806	12490	2987
807	12508	2972
808	12522	2956
809	12536	2940
810	12551	2925
811	12565	2909
812	12577	2892
813	12590	2877
814	12614	2863
815	12631	2848
816	12659	2835
817	12673	2819
818	12686	2803
819	12698	2787
820	12711	2771
821	12725	2755
822	12738	2739
823	12752	2723
824	12764	2707
825	12776	2691
826	12816	2681
827	12827	2664
828	12838	2648
829	12852	2632
830	12867	2616
831	12881	2601
832	12894	2585
833	12905	2568
834	12929	2554
835	12939	2538
836	12951	2522
837	12962	2505
838	12973	2489
839	12984	2473
840	12995	2457
841	13009	2441
842	13022	2425
843	13036	2409
844	13053	2394
845	13072	2379
846	13083	2363
847	13094	2347
848	13134	2336
849	13158	2322
850	13171	2306
851	13193	2291
852	13207	2276
853	13221	2260
854	13234	2244
855	13248	2228
856	13260	2212
857	13271	2196
858	13282	2180
859	13295	2164
860	13306	2148
861	13319	2132
862	13333	2116
863	13346	2100
864	13360	2085
865	13376	2069
866	13390	2054
867	13404	2038
868	13417	2022
869	13429	2006
870	13443	1991
871	13456	1975
872	13472	1959
873	13485	1944
874	13499	1928
875	13510	1912
876	13528	1897
877	13542	1881
878	13555	1865
879	13569	1850
880	13584	1834
881	13606	1820
882	13620	1804
883	13634	1789
884	13648	1773
885	13660	1757
886	13672	1741
887	13686	1726
888	13699	1710
889	13712	1694
890	13723	1678
891	13750	1664
892	13764	1649
893	13777	1633
894	13790	1617
895	13801	1601
896	13812	1586
897	13842	1572
898	13855	1556
899	13869	1541
900	13883	1525
901	13895	1509
902	13907	1493
903	13918	1478
904	13928	1462
905	13940	1446
906	13952	1430
907	13963	1414
908	13991	1400
909	14001	1384
910	14012	1368
911	14030	1353
912	14041	1338
913	14052	1322
914	14064	1306
915	14074	1290
916	14085	1274
917	14096	1259
918	14110	1243
919	14123	1228
920	14138	1212
921	14151	1197
922	14182	1183
923	14195	1167
924	14207	1151
925	14219	1136
926	14233	1120
927	14286	1108
928	14300	1092
929	14312	1077
930	14337	1062
931	14348	1046
932	14359	1031
933	14373	1015
934	14387	1000
935	14401	984
936	14425	969
937	14439	954
938	14452	938
939	14465	923
940	14479	907
941	14492	892
942	14506	876
943	14520	861
944	14534	845
945	14548	830
946	14565	815
947	14579	799
948	14592	784
949	14604	768
950	14615	753
951	14629	737
952	14642	722
953	14653	706
954	14664	691
955	14675	675
956	14689	660
957	14701	644
958	14728	629
959	14742	614
960	14754	598
961	14768	583
962	14779	567
963	14792	552
964	14805	536
965	14819	521
966	14832	506
967	14846	490
968	14860	475
969	14873	460
970	14900	445
971	14914	429
972	14924	414
973	14935	398
974	14947	383
975	14957	367
976	14968	352
977	14980	336
978	14994	321
979	15005	306
980	15018	290
981	15032	275
982	15045	260
983	15058	244
984	15071	229
985	15084	214
986	15096	198
987	15106	183
988	15117	168
989	15128	152
990	15138	137
991	15166	122
992	15182	107
993	15192	91
994	15203	76
995	15215	61
996	15226	45
997	15239	30
998	15252	15
999	15265	0
